name,lon,lat,address,pname,cityname,adname,type
中国工商银行(仁寿黑龙滩支行),104.0227353,30.12355264,四海生活小镇商业街道1栋,四川省,眉山市,仁寿县,金融保险服务;银行;中国工商银行
中国工商银行(朝阳大道支行),103.5194511,30.19928881,朝阳大道335号7幢2单元1层14号,四川省,成都市,蒲江县,金融保险服务;银行;中国工商银行
中国工商银行(蒲江支行),103.5041118,30.19800758,大北街4号附1号,四川省,成都市,蒲江县,金融保险服务;银行;中国工商银行
中国工商银行(天府科学城支行),104.0713423,30.39671866,天府新区成都科学城天府菁蓉中心D区商业A6号楼1512-1514号临街商铺,四川省,成都市,双流区,金融保险服务;银行;中国工商银行
中国工商银行(名山支行),103.1052778,30.0740483,茶都大道449号,四川省,雅安市,名山区,金融保险服务;银行;中国工商银行
中国工商银行(万达支行),104.6152576,30.12800191,,四川省,资阳市,雁江区,金融保险服务;银行;中国工商银行
中国工商银行(资阳临空支行),104.5592278,30.18503226,宝珠东路1号产业孵化中心2-1-109,四川省,资阳市,雁江区,金融保险服务;银行;中国工商银行
中国工商银行(资阳娇子大道支行),104.626394,30.12851149,娇子大道京龙领地坐标附近,四川省,资阳市,雁江区,金融保险服务;银行;中国工商银行
中国工商银行(车城大道分理处),104.6289578,30.14509119,车城大道三段四季花园A区3号楼5-7号,四川省,资阳市,雁江区,金融保险服务;银行;中国工商银行
中国工商银行(雅安芦山支行),102.9297814,30.14700505,迎宾大道346号1栋1楼1号,四川省,雅安市,芦山县,金融保险服务;银行;中国工商银行
中国工商银行(资阳广场路支行),104.6302039,30.13422228,罗家坝小区雁城路1栋1号,四川省,资阳市,雁江区,金融保险服务;银行;中国工商银行|金融保险服务;银行相关;银行相关
中国工商银行(沱东分理处),104.6708593,30.1074321,西南电商城,四川省,资阳市,雁江区,金融保险服务;银行;中国工商银行
中国工商银行(芦山支行),102.9206764,30.15302939,中心街13号,四川省,雅安市,芦山县,金融保险服务;银行;中国工商银行
中国工商银行,104.6387363,30.12990901,公园路与凤园路交叉口东120米,四川省,资阳市,雁江区,金融保险服务;银行;中国工商银行
中国工商银行(天全支行),102.7590261,30.0600908,向阳大道185号(近天全县汽车站),四川省,雅安市,天全县,金融保险服务;银行;中国工商银行
中国工商银行(西充安汉支行),105.8891967,30.99322842,安汉大道二段与雨台路交叉口南20米,四川省,南充市,西充县,金融保险服务;银行;中国工商银行
中国工商银行(西充支行),105.8984631,31.00760305,"安汉大道北二段127,129,131号",四川省,南充市,西充县,金融保险服务;银行;中国工商银行
中国工商银行(赤城支行),105.7101205,30.77757315,赤城镇中河街56号,四川省,遂宁市,蓬溪县,金融保险服务;银行;中国工商银行
中国工商银行(蓬溪支行营业室),105.6994497,30.75832461,赤城镇迎宾大道,四川省,遂宁市,蓬溪县,金融保险服务;银行;中国工商银行
中国工商银行(蓬安支行),106.4089619,31.02646148,丝绸街2号,四川省,南充市,蓬安县,金融保险服务;银行;中国工商银行
中国工商银行(河东支行),105.6057598,30.51936813,东平南路6号东方明珠E栋附属楼1-2层,四川省,遂宁市,船山区,金融保险服务;银行;中国工商银行
中国工商银行(遂宁分行),105.5624118,30.53089737,遂州北路159号,四川省,遂宁市,船山区,金融保险服务;银行;中国工商银行
中国工商银行(遂宁东升分理处),105.5857898,30.52944967,东升路6、8号,四川省,遂宁市,船山区,金融保险服务;银行;中国工商银行
中国工商银行(工业园区支行),105.5927356,30.48691275,南津北路795号,四川省,遂宁市,船山区,金融保险服务;银行;中国工商银行
中国工商银行(遂州支行),105.5767017,30.50483712,遂州中路2号,四川省,遂宁市,船山区,金融保险服务;银行;中国工商银行
中国工商银行(南津支行),105.5860484,30.49405691,南津路194-196号,四川省,遂宁市,船山区,金融保险服务;银行;中国工商银行
中国工商银行(遂宁凯旋支行),105.5817844,30.50115499,凯旋下路262号,四川省,遂宁市,船山区,金融保险服务;银行;中国工商银行
中国工商银行(经济开发区支行),105.5498879,30.53396572,明月路明月星城1层495、497、499、501号,四川省,遂宁市,船山区,金融保险服务;银行;中国工商银行
中国工商银行(金海支行),105.5602084,30.52543447,嘉禾西路金海岸大酒店1楼,四川省,遂宁市,船山区,金融保险服务;银行;中国工商银行
中国工商银行(裕丰支行),105.5711989,30.50971825,遂州中路263号,四川省,遂宁市,船山区,金融保险服务;银行;中国工商银行
中国工商银行(物流港支行),105.569495,30.46999559,318国道,四川省,遂宁市,船山区,金融保险服务;银行;中国工商银行
中国工商银行(内江壕子口支行),105.0358356,29.58829824,壕子口路990号,四川省,内江市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(内江万达广场支行),105.0411639,29.6060469,汉安大道974号附近,四川省,内江市,东兴区,金融保险服务;银行;中国工商银行
中国工商银行(内江汉安支行),105.0544366,29.60560839,汉安大道西382号附1号,四川省,内江市,东兴区,金融保险服务;银行;中国工商银行
中国工商银行(玉溪路分理处),105.0508906,29.57958371,玉溪路439、.441、443号,四川省,内江市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(中兴支行),105.0657729,29.59907799,内西林大道月亮湾街142号(内江西林大道月亮街口),四川省,内江市,东兴区,金融保险服务;银行;中国工商银行
中国工商银行(大同支行),105.0653105,29.5862311,,四川省,内江市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(江华街分理处),105.0550773,29.57098661,江华街6号附7-8号,四川省,内江市,市中区,金融保险服务;银行;中国工商银行
中国工商银行,105.064853,29.58240015,文英街,四川省,内江市,市中区,金融保险服务;银行;中国工商银行
